millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
946593,94.50,93.75,94.12,109.75,-0.11,-0.07,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
947299,95.00,93.00,94.00,109.50,-0.14,-0.11,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
948001,94.50,93.25,93.87,109.75,-0.04,-0.11,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
948710,94.75,94.00,94.37,109.75,-0.07,-0.07,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
949415,94.75,93.75,94.25,109.50,-0.00,0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
950120,94.75,94.00,94.37,109.75,-0.04,0.00,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
950826,95.25,94.25,94.75,110.00,-0.04,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
951524,95.50,93.25,94.37,110.00,0.11,-0.00,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
952222,95.75,94.25,95.00,110.00,0.11,-0.00,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
952929,95.50,94.50,95.00,109.75,0.14,-0.00,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
953634,96.00,94.50,95.25,109.75,0.11,-0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
954339,95.50,94.00,94.75,110.00,0.21,-0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
955041,95.50,94.00,94.75,110.25,0.07,0.07,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
955743,95.50,93.50,94.50,109.75,0.14,0.07,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
956448,95.00,93.75,94.37,109.75,0.11,-0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
957152,95.00,92.75,93.87,109.50,0.04,0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
957861,94.50,93.00,93.75,110.25,0.04,-0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
958564,94.25,92.50,93.37,109.75,-0.11,0.04,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
959270,93.00,92.00,92.50,110.00,-0.18,-0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
959974,92.75,91.50,92.12,110.50,-0.39,-0.00,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
960677,91.75,90.75,91.25,110.25,-0.39,0.11,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
961380,91.25,90.00,90.62,110.00,-0.60,0.07,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
962095,90.25,89.25,89.75,109.50,-0.60,-0.00,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
962801,89.25,88.25,88.75,110.00,-0.74,-0.11,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
963504,89.25,87.75,88.50,110.00,-0.89,0.04,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
964212,88.25,86.75,87.50,109.25,-0.81,0.04,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
964920,87.00,85.75,86.37,109.75,-0.96,-0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
965630,86.50,85.50,86.00,109.75,-1.06,-0.07,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
966335,85.50,84.50,85.00,109.25,-1.10,0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
967045,84.25,83.50,83.87,109.25,-1.06,-0.11,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
967751,84.00,83.25,83.62,109.25,-1.20,-0.18,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
968463,83.00,82.50,82.75,109.25,-1.10,-0.14,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
969169,82.00,81.50,81.75,109.50,-1.17,-0.11,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
969874,81.50,81.00,81.25,109.75,-1.17,0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
970580,80.75,80.00,80.37,109.75,-1.10,-0.03,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
971298,79.75,79.25,79.50,109.50,-1.20,-0.03,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
972007,79.00,78.75,78.87,109.75,-1.20,0.04,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
972720,77.75,78.25,78.00,109.75,-1.13,0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
973434,77.25,77.25,77.25,110.25,-1.23,0.00,0,0,0,0,100,0,0,1,1,0,60.00,110.00,1
974154,76.50,76.50,76.50,110.00,-1.16,0.14,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
974862,75.75,75.75,75.75,110.25,-1.09,0.10,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
975568,75.00,75.00,75.00,110.25,-1.16,0.14,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
976271,74.75,74.00,74.37,109.50,-1.13,0.14,0,0,0,0,0,0,0,1,1,0,60.00,110.00,1
